uf;dt_referencia;dt_geracao;numero_familias_pa_criado_diferenciado_pnra;numero_familias_pa_criado_tradicional_pnra;numero_familias_reconhecimento_pnra;numero_familias_regularizacao_pnra;total_numero_familias_pnra;arquivo_origem
AC;2026 até mar;2026_04_15;281.0;0.0;20.0;170.0;471.0;PNRA_2026_2026_04_15.xlsx
AL;2026 até mar;2026_04_15;0.0;0.0;5.0;17.0;22.0;PNRA_2026_2026_04_15.xlsx
AM;2026 até mar;2026_04_15;498.0;0.0;0.0;130.0;628.0;PNRA_2026_2026_04_15.xlsx
AP;2026 até mar;2026_04_15;30.0;0.0;0.0;12.0;42.0;PNRA_2026_2026_04_15.xlsx
BA;2026 até mar;2026_04_15;0.0;0.0;0.0;972.0;972.0;PNRA_2026_2026_04_15.xlsx
CE;2026 até mar;2026_04_15;0.0;1.0;11.0;123.0;135.0;PNRA_2026_2026_04_15.xlsx
DF;2026 até mar;2026_04_15;0.0;0.0;0.0;47.0;47.0;PNRA_2026_2026_04_15.xlsx
ES;2026 até mar;2026_04_15;0.0;0.0;2.0;10.0;12.0;PNRA_2026_2026_04_15.xlsx
GO;2026 até mar;2026_04_15;0.0;0.0;0.0;167.0;167.0;PNRA_2026_2026_04_15.xlsx
MA;2026 até mar;2026_04_15;1.0;0.0;1589.0;637.0;2227.0;PNRA_2026_2026_04_15.xlsx
MG;2026 até mar;2026_04_15;2.0;37.0;0.0;62.0;101.0;PNRA_2026_2026_04_15.xlsx
MS;2026 até mar;2026_04_15;0.0;0.0;0.0;376.0;376.0;PNRA_2026_2026_04_15.xlsx
MT;2026 até mar;2026_04_15;5.0;0.0;1.0;144.0;150.0;PNRA_2026_2026_04_15.xlsx
PA;2026 até mar;2026_04_15;1446.0;0.0;40.0;661.0;2147.0;PNRA_2026_2026_04_15.xlsx
PB;2026 até mar;2026_04_15;0.0;0.0;5.0;26.0;31.0;PNRA_2026_2026_04_15.xlsx
PE;2026 até mar;2026_04_15;78.0;0.0;26.0;300.0;404.0;PNRA_2026_2026_04_15.xlsx
PI;2026 até mar;2026_04_15;0.0;0.0;0.0;120.0;120.0;PNRA_2026_2026_04_15.xlsx
PR;2026 até mar;2026_04_15;0.0;0.0;0.0;98.0;98.0;PNRA_2026_2026_04_15.xlsx
RJ;2026 até mar;2026_04_15;0.0;0.0;0.0;3.0;3.0;PNRA_2026_2026_04_15.xlsx
RN;2026 até mar;2026_04_15;0.0;0.0;0.0;138.0;138.0;PNRA_2026_2026_04_15.xlsx
RO;2026 até mar;2026_04_15;0.0;0.0;0.0;126.0;126.0;PNRA_2026_2026_04_15.xlsx
RR;2026 até mar;2026_04_15;0.0;2.0;0.0;28.0;30.0;PNRA_2026_2026_04_15.xlsx
RS;2026 até mar;2026_04_15;0.0;0.0;13.0;51.0;64.0;PNRA_2026_2026_04_15.xlsx
SC;2026 até mar;2026_04_15;0.0;0.0;0.0;35.0;35.0;PNRA_2026_2026_04_15.xlsx
SE;2026 até mar;2026_04_15;0.0;0.0;256.0;47.0;303.0;PNRA_2026_2026_04_15.xlsx
SP;2026 até mar;2026_04_15;0.0;0.0;32.0;13.0;45.0;PNRA_2026_2026_04_15.xlsx
TO;2026 até mar;2026_04_15;0.0;0.0;0.0;225.0;225.0;PNRA_2026_2026_04_15.xlsx
